2001	National product	
2002	Population growth rate	
2003	National product real growth rate	
2004	GDP - per capita (PPP)	
2010	Age structure	
2012	GDP - composition by sector	
2013	Radio broadcast stations	
2018	Sex ratio	
2020	Elevation extremes	
2025	Manpower fit for military service	
2026	Manpower reaching militarily significant age annually	
2030	Airports - with paved runways	
2042	Electricity - consumption	
2053	Airports	
2054	Birth rate	
2060	Coastline	
2066	Death rate	
2078	Exports	
2085	Roadways	
2087	Imports	
2091	Infant mortality rate	
2092	Inflation rate (consumer prices)	
2095	Labor force	
2096	Land boundaries	
2102	Life expectancy at birth	
2103	Literacy	
2112	Net migration rate	
2119	Population	
2127	Total fertility rate	
2147	Area	
2150	Telephones - main lines in use	
2151	Telephones - mobile cellular	
2153	Internet users	
2173	Oil - production	
2174	Oil - consumption	
2175	Oil - imports	
2176	Oil - exports	
2177	Median age	
2180	Natural gas - production	
2181	Natural gas - consumption	
2183	Natural gas - exports	
2184	Internet hosts	
2187	Current account balance	
2195	GDP (official exchange rate)	
