1	Gibraltar	         100.00
2	Jersey	          97.00
3	Monaco	          95.10
4	Falkland Islands (Islas Malvinas)	          95.00
5	Hong Kong	          92.90
6	Bermuda	          92.20
7	Bahamas, The	          90.70
8	Equatorial Guinea	          90.70
9	Macau	          90.60
10	Isle of Man	          88.00
11	Montenegro	          87.90
12	British Virgin Islands	          87.20
13	Guernsey	          87.00
14	Luxembourg	          86.00
15	Saint Martin	          84.00
16	Curacao	          83.80
17	Barbados	          82.90
18	Cook Islands	          82.10
19	Saint Kitts and Nevis	          81.90
20	Grenada	          81.70
21	Sint Maarten	          81.30
22	West Bank	          81.20
23	Cyprus	          81.20
24	Malta	          80.90
25	Saint Lucia	          80.50
26	Virgin Islands	          80.00
27	Djibouti	          79.90
28	Greece	          79.60
29	United States	          79.60
30	Seychelles	          79.60
31	France	          79.50
32	Panama	          79.20
33	Antigua and Barbuda	          78.20
34	Turks and Caicos Islands	          78.20
35	United Kingdom	          77.80
36	Belgium	          77.60
37	Maldives	          77.50
38	Liberia	          76.90
39	Palau	          76.80
40	Denmark	          76.50
41	French Polynesia	          76.10
42	Cape Verde	          75.90
43	Lebanon	          75.70
44	Montserrat	          75.10
45	Cuba	          74.50
46	Portugal	          74.40
47	Saint Vincent and the Grenadines	          73.80
48	Singapore	          73.40
49	Italy	          73.40
50	European Union	          73.20
51	Netherlands	          73.10
52	Qatar	          73.00
53	Cayman Islands	          72.10
54	Costa Rica	          72.00
55	Mauritius	          71.80
56	Japan	          71.60
57	Dominica	          71.60
58	New Zealand	          71.60
59	Spain	          71.60
60	Switzerland	          71.20
61	Congo, Republic of the	          71.10
62	New Caledonia	          70.90
63	Sweden	          70.90
64	Germany	          70.60
65	Slovenia	          70.60
66	Belize	          70.50
67	Serbia	          70.30
68	Latvia	          70.10
69	Iceland	          69.80
70	Canada	          69.70
71	Australia	          69.40
72	Finland	          69.40
73	Anguilla	          69.30
74	Fiji	          69.10
75	Ireland	          69.00
76	Austria	          69.00
77	Uruguay	          68.90
78	Croatia	          68.70
79	Vanuatu	          68.40
80	Lithuania	          68.20
81	Kiribati	          67.80
82	Taiwan	          67.80
83	Georgia	          67.60
84	Turkmenistan	          67.60
85	Saudi Arabia	          67.50
86	Brunei	          67.00
87	Brazil	          67.00
88	Greenland	          67.00
89	South Africa	          67.00
90	Hungary	          66.70
91	Israel	          66.60
92	Aruba	          66.30
93	Estonia	          66.10
94	Angola	          65.80
95	Bosnia and Herzegovina	          65.40
96	Jordan	          64.70
97	Kosovo	          64.50
98	Jamaica	          64.10
99	Moldova	          63.50
100	Dominican Republic	          63.20
101	Bulgaria	          63.20
102	Guatemala	          63.00
103	Turkey	          63.00
104	Poland	          63.00
105	Samoa	          62.70
106	Sao Tome and Principe	          62.60
107	Tonga	          62.60
108	Azerbaijan	          62.10
109	Algeria	          62.00
110	Senegal	          61.90
111	Mexico	          61.70
112	Macedonia	          61.40
113	Kenya	          61.00
114	Nauru	          60.80
115	San Marino	          60.70
116	Slovakia	          60.70
117	Honduras	          60.60
118	Iraq	          60.50
119	Venezuela	          60.40
120	Albania	          60.20
121	Czech Republic	          60.20
122	Tajikistan	          60.00
123	El Salvador	          59.70
124	Somalia	          59.30
125	Romania	          59.20
126	United Arab Emirates	          59.10
127	Chile	          59.00
128	Trinidad and Tobago	          58.60
129	Russia	          58.60
130	Lesotho	          58.50
131	Peru	          58.40
132	Namibia	          58.30
133	Paraguay	          58.30
134	Korea, South	          58.20
135	Argentina	          58.20
136	Gambia, The	          58.10
137	Sri Lanka	          58.00
138	Norway	          57.80
139	Ecuador	          57.70
140	Benin	          57.60
141	Kuwait	          57.40
142	Solomon Islands	          57.20
143	Kazakhstan	          56.90
144	Nicaragua	          56.80
145	Central African Republic	          56.50
146	India	          56.40
147	Guinea-Bissau	          56.40
148	Tuvalu	          56.20
149	Ukraine	          56.00
150	Micronesia, Federated States of	          55.90
151	Philippines	          55.80
152	Syria	          55.70
153	Timor-Leste	          55.60
154	Colombia	          55.50
155	Madagascar	          55.20
156	Haiti	          55.20
157	Liechtenstein	          55.00
158	Eritrea	          55.00
159	Faroe Islands	          55.00
160	Zimbabwe	          54.80
161	Tunisia	          54.80
162	Gabon	          53.60
163	Malawi	          53.50
164	Pakistan	          53.40
165	Bangladesh	          53.40
166	Marshall Islands	          53.40
167	Rwanda	          53.00
168	Botswana	          52.90
169	Chad	          52.70
170	Bahrain	          52.40
171	Suriname	          52.00
172	Sierra Leone	          51.70
173	Puerto Rico	          51.60
174	Mongolia	          51.60
175	Morocco	          51.40
176	Kyrgyzstan	          51.10
177	Oman	          50.70
178	Nepal	          50.10
179	Comoros	          50.00
180	Bolivia	          50.00
181	Yemen	          49.90
182	Cameroon	          49.50
183	Niue	          49.50
184	Iran	          49.50
185	Cote d'Ivoire	          49.00
186	Uganda	          48.80
187	Ghana	          48.50
188	Libya	          48.40
189	Libya	          48.30
190	Tanzania	          48.00
191	Puerto Rico	          47.80
192	Oman	          47.80
193	Guinea	          47.80
194	Burundi	          47.70
195	Egypt	          47.60
196	Malaysia	          47.50
197	Bahrain	          47.20
198	Indonesia	          47.20
199	Swaziland	          46.90
200	Ethiopia	          46.60
201	China	          46.60
202	Belarus	          46.20
203	Togo	          45.90
204	Zambia	          45.60
205	Bhutan	          45.40
206	Guyana	          45.20
207	Botswana	          45.00
208	Swaziland	          44.90
209	Mauritania	          44.60
210	Belarus	          44.40
211	Mozambique	          43.80
212	Thailand	          43.70
213	Sudan	          43.60
214	China	          43.30
215	Korea, North	          43.20
216	Thailand	          43.00
217	Nigeria	          43.00
218	Kuwait	          42.30
219	Yemen	          42.30
220	Burkina Faso	          42.10
221	Niger	          42.10
222	Gabon	          42.10
223	Burma	          42.00
224	Niger	          41.60
225	Cambodia	          41.30
226	Trinidad and Tobago	          41.10
227	Chad	          40.60
228	Armenia	          40.50
229	Malaysia	          40.50
230	Armenia	          40.40
231	Uzbekistan	          40.30
232	Vietnam	          40.30
233	Iran	          40.20
234	United Arab Emirates	          40.10
235	Afghanistan	          40.00
236	Bolivia	          40.00
237	Western Sahara	          40.00
238	Comoros	          40.00
239	Norway	          39.50
240	Congo, Democratic Republic of the	          39.40
241	Mali	          39.30
242	Burma	          39.30
243	Guinea	          39.30
244	San Marino	          39.20
245	Korea, South	          39.20
246	Ethiopia	          38.90
247	Mali	          38.80
248	Indonesia	          38.10
249	Czech Republic	          38.00
250	Kazakhstan	          37.90
251	Bhutan	          37.90
252	Vietnam	          37.70
253	Uzbekistan	          37.70
254	Mauritania	          37.60
255	Egypt	          37.60
256	Suriname	          37.50
257	Colombia	          37.50
258	Laos	          37.40
259	Chile	          37.30
260	Liechtenstein	          37.00
261	Papua New Guinea	          36.90
262	Russia	          36.90
263	Benin	          36.00
264	Venezuela	          35.80
265	Ecuador	          35.80
266	Slovakia	          35.50
267	Congo, Democratic Republic of the	          35.30
268	Nepal	          34.90
269	Afghanistan	          34.90
270	Laos	          34.80
271	Burkina Faso	          34.60
272	Cambodia	          34.60
273	Tunisia	          34.60
274	Mexico	          34.50
275	Guyana	          34.40
276	Namibia	          34.10
277	Eritrea	          34.00
278	Papua New Guinea	          33.80
279	Solomon Islands	          33.80
280	Peru	          33.70
281	Lesotho	          33.70
282	Korea, North	          33.60
283	Somalia	          33.50
284	Ukraine	          33.50
285	Zambia	          33.50
286	Poland	          33.30
287	Aruba	          33.30
288	Rwanda	          33.10
289	Nauru	          33.00
290	Romania	          32.90
291	Mongolia	          32.60
292	Sudan	          32.50
293	Togo	          32.50
294	Azerbaijan	          32.40
295	Brunei	          32.30
296	Morocco	          32.20
297	Mozambique	          32.00
298	Marshall Islands	          31.70
299	Philippines	          31.40
300	Bulgaria	          31.10
301	Nigeria	          31.10
302	Argentina	          31.10
303	Burundi	          31.00
304	Israel	          30.90
305	Dominican Republic	          30.80
306	Jordan	          30.80
307	South Africa	          30.60
308	Cameroon	          30.60
309	Guinea-Bissau	          30.50
310	Saudi Arabia	          30.50
311	Taiwan	          30.40
312	Estonia	          30.20
313	Cote d'Ivoire	          30.00
314	Sri Lanka	          29.90
315	Malawi	          29.90
316	Iraq	          29.80
317	El Salvador	          29.80
318	Jamaica	          29.60
319	Austria	          29.50
320	Papua New Guinea	          29.30
321	Algeria	          29.10
322	Hungary	          29.10
323	Ireland	          29.00
324	Greenland	          29.00
325	Faroe Islands	          29.00
326	Micronesia, Federated States of	          28.90
327	Kyrgyzstan	          28.80
328	Germany	          28.60
329	Central African Republic	          28.60
330	Canada	          28.50
331	Anguilla	          28.50
332	Lithuania	          28.50
