1	China	      795,500,000
2	India	      487,600,000
3	European Union	      228,300,000
4	United States	      153,600,000
5	Indonesia	      117,400,000
6	Brazil	      104,700,000
7	Bangladesh	       75,420,000
8	Russia	       75,330,000
9	Japan	       65,910,000
10	Pakistan	       58,640,000
11	Nigeria	       52,500,000
12	Mexico	       49,170,000
13	Vietnam	       48,230,000
14	Germany	       43,670,000
15	Philippines	       40,000,000
16	Thailand	       38,900,000
17	Ethiopia	       37,900,000
18	Congo, Democratic Republic of the	       34,790,000
19	Burma	       32,530,000
20	United Kingdom	       31,720,000
21	France	       29,500,000
22	Turkey	       26,690,000
23	Egypt	       26,500,000
24	Iran	       26,370,000
25	Korea, South	       25,100,000
26	Italy	       25,080,000
27	Tanzania	       24,060,000
28	Spain	       23,100,000
29	Colombia	       22,450,000
30	Ukraine	       22,060,000
31	Canada	       18,700,000
32	Kenya	       18,390,000
33	Nepal	       18,000,000
34	Poland	       17,850,000
35	South Africa	       17,660,000
36	Argentina	       16,880,000
37	Uzbekistan	       16,110,000
38	Uganda	       16,020,000
39	Peru	       15,900,000
40	Afghanistan	       15,000,000
41	Venezuela	       13,320,000
42	Malaysia	       12,560,000
43	Korea, North	       12,200,000
44	Australia	       12,050,000
45	Sudan	       11,920,000
46	Morocco	       11,540,000
47	Ghana	       11,440,000
48	Taiwan	       11,200,000
49	Algeria	       11,040,000
50	Mozambique	        9,973,000
51	Madagascar	        9,504,000
52	Romania	        9,252,000
53	Iraq	        8,900,000
54	Cambodia	        8,800,000
55	Kazakhstan	        8,777,000
56	Cote d'Ivoire	        8,764,000
57	Angola	        8,240,000
58	Sri Lanka	        8,134,000
59	Chile	        8,099,000
60	Cameroon	        8,078,000
61	Netherlands	        7,809,000
62	Saudi Arabia	        7,630,000
63	Yemen	        6,956,000
64	Burkina Faso	        6,668,000
65	Azerbaijan	        6,119,000
66	Malawi	        5,747,000
67	Zambia	        5,720,000
68	Senegal	        5,687,000
69	Syria	        5,642,000
70	Guatemala	        5,571,000
71	Portugal	        5,543,000
72	Czech Republic	        5,410,000
73	Cuba	        5,175,000
74	Belgium	        5,168,000
75	Sweden	        5,018,000
76	Belarus	        5,000,000
77	Greece	        4,948,000
78	Switzerland	        4,899,000
79	Haiti	        4,810,000
80	Dominican Republic	        4,703,000
81	Niger	        4,688,000
82	Ecuador	        4,682,000
83	Bolivia	        4,643,000
84	Guinea	        4,638,000
85	Rwanda	        4,446,000
86	Chad	        4,293,000
87	Hungary	        4,261,000
88	Burundi	        4,245,000
89	United Arab Emirates	        4,111,000
90	Tunisia	        3,949,000
91	Papua New Guinea	        3,896,000
92	Zimbabwe	        3,856,000
93	Hong Kong	        3,703,000
94	Laos	        3,690,000
95	Austria	        3,668,000
96	Benin	        3,662,000
97	Israel	        3,492,000
98	Somalia	        3,447,000
99	Honduras	        3,370,000
100	Mali	        3,241,000
101	Singapore	        3,237,000
102	Serbia	        3,210,000
103	Paraguay	        3,084,000
104	Nicaragua	        2,885,000
105	Denmark	        2,851,000
106	Slovakia	        2,713,000
107	Finland	        2,682,000
108	Norway	        2,629,000
109	Bosnia and Herzegovina	        2,600,000
110	Togo	        2,595,000
111	El Salvador	        2,581,000
112	Bulgaria	        2,465,000
113	New Zealand	        2,370,000
114	Kyrgyzstan	        2,344,000
115	Turkmenistan	        2,300,000
116	Kuwait	        2,227,000
117	Sierra Leone	        2,207,000
118	Costa Rica	        2,155,000
119	Ireland	        2,114,000
120	Tajikistan	        2,100,000
121	Georgia	        1,945,000
122	Eritrea	        1,935,000
123	Central African Republic	        1,926,000
124	Jordan	        1,771,000
125	Croatia	        1,717,000
126	Uruguay	        1,677,000
127	Lithuania	        1,620,000
128	Congo, Republic of the	        1,514,000
129	Panama	        1,486,000
130	Lebanon	        1,481,000
131	Liberia	        1,372,000
132	Mauritania	        1,318,000
133	Jamaica	        1,318,000
134	Puerto Rico	        1,286,000
135	Botswana	        1,269,000
136	Libya	        1,252,000
137	Qatar	        1,241,000
138	Moldova	        1,233,000
139	Armenia	        1,194,000
140	Latvia	        1,147,000
141	Mongolia	        1,147,000
142	Albania	        1,071,000
143	Oman	         968,800
144	Macedonia	         940,100
145	Slovenia	         934,700
146	Lesotho	         854,600
147	Namibia	         803,700
148	Kosovo	         800,000
149	Gambia, The	         777,100
150	West Bank	         745,600
151	Gabon	         742,100
152	Estonia	         695,900
153	Bahrain	         666,000
154	Guinea-Bissau	         632,700
155	Trinidad and Tobago	         613,600
156	Mauritius	         607,400
157	Swaziland	         457,900
158	Timor-Leste	         418,200
159	Cyprus	         414,100
160	Djibouti	         351,700
161	Gaza Strip	         348,200
162	Fiji	         335,000
163	Macau	         330,900
164	Guyana	         313,100
165	Bhutan	         299,900
166	Comoros	         268,500
167	Montenegro	         251,300
168	Luxembourg	         207,500
169	Solomon Islands	         202,500
170	Brunei	         198,800
171	Cape Verde	         196,100
172	Equatorial Guinea	         195,200
173	Bahamas, The	         184,000
174	Malta	         180,200
175	Iceland	         180,000
176	Suriname	         165,600
177	Barbados	         145,000
178	Western Sahara	         144,000
179	Belize	         120,500
180	French Polynesia	         116,000
181	Vanuatu	         115,900
182	Maldives	         110,000
183	New Caledonia	         102,600
184	Guam	          82,950
185	Saint Lucia	          79,700
186	Samoa	          66,270
187	Curacao	          63,000
188	Saint Vincent and the Grenadines	          57,520
189	Jersey	          53,560
190	Sao Tome and Principe	          52,490
191	Virgin Islands	          49,820
192	Monaco	          49,300
193	Grenada	          47,580
194	Isle of Man	          41,790
195	Aruba	          41,500
196	Tonga	          39,960
197	Seychelles	          39,560
198	Cayman Islands	          39,000
199	Northern Mariana Islands	          38,450
200	Bermuda	          38,360
201	Andorra	          38,220
202	Faroe Islands	          34,710
203	Liechtenstein	          34,330
204	Greenland	          33,670
205	Guernsey	          31,470
206	Antigua and Barbuda	          30,000
207	Dominica	          25,000
208	Sint Maarten	          23,200
209	San Marino	          22,050
210	Saint Kitts and Nevis	          18,170
211	American Samoa	          17,630
212	Micronesia, Federated States of	          16,360
213	Marshall Islands	          14,680
214	British Virgin Islands	          12,770
215	Gibraltar	          12,690
216	Palau	           9,777
217	Kiribati	           7,870
218	Cook Islands	           6,820
219	Anguilla	           6,049
220	Falkland Islands (Islas Malvinas)	           5,246
221	Turks and Caicos Islands	           4,848
222	Montserrat	           4,521
223	Tuvalu	           3,615
224	Saint Pierre and Miquelon	           3,450
225	Wallis and Futuna	           3,104
226	Saint Helena, Ascension, and Tristan da Cunha	           2,486
227	Svalbard	           1,234
228	Norfolk Island	            978
229	Niue	            663
230	Tokelau	            440
231	Pitcairn Islands	             15
