1	United States	        6,506,204
2	China	        3,860,800
3	India	        3,320,410
4	Brazil	        1,751,868
5	Japan	        1,210,251
6	Canada	        1,042,300
7	Russia	         982,000
8	France	         951,200
9	Australia	         823,217
10	Spain	         681,298
11	Germany	         644,480
12	Sweden	         572,900
13	Italy	         487,700
14	Indonesia	         437,759
15	Poland	         423,997
16	United Kingdom	         394,428
17	Mexico	         366,095
18	South Africa	         362,099
19	Turkey	         352,046
20	Pakistan	         260,760
21	Argentina	         231,374
22	Saudi Arabia	         221,372
23	Philippines	         213,151
24	Hungary	         197,519
25	Nigeria	         193,200
26	Vietnam	         180,549
27	Thailand	         180,053
28	Iran	         172,927
29	Ukraine	         169,496
30	Kenya	         160,886
31	Belgium	         153,595
32	Congo, Democratic Republic of the	         153,497
33	Colombia	         141,374
34	Peru	         137,327
35	Netherlands	         136,827
36	Czech Republic	         127,797
37	Austria	         124,508
38	Greece	         116,711
39	Algeria	         113,655
40	Korea, South	         103,029
41	Libya	         100,024
42	Malaysia	          98,721
43	Zimbabwe	          97,267
44	Venezuela	          96,155
45	Ireland	          96,036
46	New Zealand	          93,911
47	Kazakhstan	          93,612
48	Norway	          93,509
49	Burkina Faso	          92,495
50	Sri Lanka	          91,907
51	Zambia	          91,440
52	Tanzania	          91,049
53	Uzbekistan	          86,496
54	Belarus	          86,392
55	Portugal	          82,900
56	Romania	          82,386
57	Lithuania	          82,131
58	Chile	          80,505
59	Cote d'Ivoire	          80,000
60	Finland	          78,141
61	Uruguay	          77,732
62	Denmark	          73,197
63	Latvia	          73,074
64	Switzerland	          71,454
65	Yemen	          71,300
66	Uganda	          70,746
67	Syria	          68,157
68	Madagascar	          65,663
69	Egypt	          65,050
70	Namibia	          64,189
71	Ghana	          62,221
72	Cuba	          60,858
73	Turkmenistan	          58,592
74	Morocco	          58,256
75	Estonia	          58,034
76	Oman	          53,430
77	Azerbaijan	          52,942
78	Angola	          51,429
79	Cameroon	          51,000
80	Mongolia	          49,249
81	Iraq	          44,900
82	Guinea	          44,348
83	Slovakia	          43,761
84	Ecuador	          43,670
85	Afghanistan	          42,150
86	Serbia	          41,913
87	Taiwan	          41,475
88	Bulgaria	          40,231
89	Chad	          40,000
90	Laos	          39,568
91	Slovenia	          38,925
92	Cambodia	          38,093
93	Costa Rica	          38,049
94	Ethiopia	          36,469
95	Kyrgyzstan	          34,000
96	Mozambique	          30,331
97	Paraguay	          29,500
98	Croatia	          29,343
99	Tajikistan	          27,767
100	Burma	          27,000
101	Puerto Rico	          26,670
102	Botswana	          25,798
103	Korea, North	          25,554
104	Central African Republic	          24,307
105	Bosnia and Herzegovina	          22,926
106	Jamaica	          22,121
107	Somalia	          22,100
108	Bangladesh	          21,269
109	Georgia	          20,329
110	Dominican Republic	          19,705
111	Tunisia	          19,232
112	Nicaragua	          19,137
113	Niger	          18,949
114	Mali	          18,912
115	Israel	          18,290
116	Albania	          18,000
117	Congo, Republic of the	          17,289
118	Nepal	          17,282
119	Bolivia	          16,138
120	Benin	          16,000
121	Malawi	          15,451
122	Cyprus	          14,671
123	Honduras	          14,239
124	Guatemala	          14,095
125	Rwanda	          14,008
126	Senegal	          14,008
127	Macedonia	          13,736
128	Iceland	          12,869
129	Burundi	          12,322
130	Panama	          11,978
131	Sudan	          11,900
132	Sierra Leone	          11,300
133	Mauritania	          11,066
134	El Salvador	          10,886
135	Liberia	          10,600
136	Papua New Guinea	           9,349
137	Moldova	           9,343
138	Gabon	           9,170
139	Trinidad and Tobago	           8,320
140	Bhutan	           8,050
141	Guyana	           7,970
142	Jordan	           7,891
143	Qatar	           7,790
144	Armenia	           7,705
145	Montenegro	           7,624
146	Togo	           7,520
147	Lesotho	           7,091
148	Lebanon	           6,970
149	Timor-Leste	           6,040
150	Kuwait	           5,749
151	New Caledonia	           5,622
152	Luxembourg	           5,227
153	West Bank	           5,147
154	Suriname	           4,304
155	Haiti	           4,160
156	Bahrain	           4,122
157	United Arab Emirates	           4,080
158	Eritrea	           4,010
159	Gambia, The	           3,742
160	Swaziland	           3,594
161	Guinea-Bissau	           3,455
162	Fiji	           3,440
163	Singapore	           3,356
164	Malta	           3,096
165	Djibouti	           3,065
166	Belize	           3,007
167	Brunei	           2,971
168	Equatorial Guinea	           2,880
169	Bahamas, The	           2,717
170	French Polynesia	           2,590
171	Samoa	           2,337
172	Hong Kong	           2,067
173	Mauritius	           2,066
174	Marshall Islands	           2,028
175	Kosovo	           1,964
176	Barbados	           1,600
177	Solomon Islands	           1,360
178	Cape Verde	           1,350
179	Virgin Islands	           1,260
180	Saint Lucia	           1,210
181	Antigua and Barbuda	           1,165
182	Grenada	           1,127
183	Vanuatu	           1,070
184	Guam	           1,045
185	Comoros	            880
186	Saint Vincent and the Grenadines	            829
187	Cayman Islands	            785
188	Dominica	            780
189	Tonga	            680
190	Kiribati	            670
191	Jersey	            576
192	Curacao	            550
193	Northern Mariana Islands	            536
194	Seychelles	            508
195	Isle of Man	            500
196	Faroe Islands	            463
197	Bermuda	            447
198	Falkland Islands (Islas Malvinas)	            440
199	Macau	            413
200	Saint Kitts and Nevis	            383
201	Liechtenstein	            380
202	Sao Tome and Principe	            320
203	Andorra	            320
204	Cook Islands	            320
205	San Marino	            292
206	American Samoa	            241
207	Micronesia, Federated States of	            240
208	British Virgin Islands	            200
209	Saint Helena, Ascension, and Tristan da Cunha	            198
210	Anguilla	            175
211	Christmas Island	            140
212	Turks and Caicos Islands	            121
213	Niue	            120
214	Saint Pierre and Miquelon	            117
215	Maldives	             88
216	Norfolk Island	             80
217	Monaco	             77
218	Sint Maarten	             53
219	Gibraltar	             29
220	Nauru	             24
221	Cocos (Keeling) Islands	             22
222	Tuvalu	              8
