1	China	      986,253,000
2	India	      893,862,000
3	United States	      313,848,000
4	Brazil	      242,232,000
5	Indonesia	      236,800,000
6	Russia	      236,700,000
7	Japan	      129,868,000
8	Vietnam	      127,318,000
9	Pakistan	      111,000,000
10	Germany	      108,700,000
11	Nigeria	       95,167,000
12	Mexico	       94,565,000
13	Italy	       92,300,000
14	Philippines	       87,256,000
15	Bangladesh	       85,000,000
16	Egypt	       83,425,000
17	United Kingdom	       81,612,000
18	Thailand	       78,668,000
19	France	       65,631,000
20	Turkey	       65,322,000
21	South Africa	       64,000,000
22	Iran	       56,043,000
23	Ukraine	       55,567,000
24	Argentina	       55,000,000
25	Saudi Arabia	       53,706,000
26	Spain	       53,067,000
27	Korea, South	       52,507,000
28	Poland	       49,200,000
29	Colombia	       46,200,000
30	Malaysia	       36,661,000
31	Morocco	       36,554,000
32	Algeria	       35,406,000
33	Peru	       32,461,000
34	Kenya	       29,981,000
35	Taiwan	       28,862,000
36	Venezuela	       28,782,000
37	Canada	       25,858,000
38	Tanzania	       25,666,000
39	Iraq	       25,519,000
40	Uzbekistan	       25,442,000
41	Sudan	       25,107,000
42	Australia	       24,490,000
43	Romania	       23,400,000
44	Kazakhstan	       23,103,000
45	Chile	       22,400,000
46	Ghana	       21,166,000
47	Guatemala	       20,716,000
48	Netherlands	       19,835,000
49	Sri Lanka	       18,319,000
50	Afghanistan	       17,558,000
51	Cote d'Ivoire	       17,416,000
52	Uganda	       16,697,000
53	Congo, Democratic Republic of the	       15,673,000
54	Ecuador	       15,333,000
55	Hong Kong	       14,931,000
56	Ethiopia	       14,127,000
57	Nepal	       13,355,000
58	Syria	       13,117,000
59	Austria	       13,023,000
60	Czech Republic	       12,810,000
61	Belgium	       12,541,000
62	Tunisia	       12,388,000
63	Portugal	       12,285,000
64	Greece	       12,128,000
65	United Arab Emirates	       11,727,000
66	Hungary	       11,690,000
67	Yemen	       11,668,000
68	Sweden	       11,194,000
69	Mali	       10,822,000
70	Belarus	       10,695,000
71	Bulgaria	       10,475,000
72	Cameroon	       10,475,000
73	Serbia	       10,182,000
74	Azerbaijan	       10,120,000
75	Switzerland	       10,017,000
76	Libya	       10,000,000
77	Cambodia	       10,000,000
78	Angola	        9,491,000
79	Senegal	        9,353,000
80	Israel	        9,200,000
81	Zimbabwe	        9,200,000
82	Dominican Republic	        8,771,000
83	Finland	        8,390,000
84	Bolivia	        8,353,000
85	Zambia	        8,165,000
86	Madagascar	        8,160,000
87	Honduras	        8,062,000
88	Mozambique	        7,855,000
89	El Salvador	        7,837,000
90	Benin	        7,765,000
91	Singapore	        7,755,000
92	Burkina Faso	        7,682,000
93	Jordan	        7,483,000
94	Panama	        7,281,000
95	Denmark	        7,047,000
96	Paraguay	        6,529,000
97	Tajikistan	        6,324,000
98	Slovakia	        5,983,000
99	Norway	        5,750,000
100	Kyrgyzstan	        5,653,000
101	Laos	        5,481,000
102	Croatia	        5,115,000
103	Lithuania	        5,004,000
104	Ireland	        4,906,000
105	Nicaragua	        4,822,000
106	New Zealand	        4,820,000
107	Oman	        4,809,000
108	Uruguay	        4,757,000
109	Guinea	        4,500,000
110	Rwanda	        4,446,000
111	Georgia	        4,430,000
112	Kuwait	        4,400,000
113	Costa Rica	        4,358,000
114	Niger	        4,340,000
115	Haiti	        4,200,000
116	Congo, Republic of the	        3,885,000
117	Malawi	        3,856,000
118	Moldova	        3,715,000
119	Chad	        3,666,000
120	Turkmenistan	        3,511,000
121	Lebanon	        3,350,000
122	Mauritania	        3,283,000
123	Armenia	        3,211,000
124	Bosnia and Herzegovina	        3,171,000
125	Puerto Rico	        3,108,000
